Offence,Section,Act,Definition,Points to Prove,CJS Code,Maximum Penalty,Charging Authority,Relevant Case Law,Notes,Category
Theft,1,Theft Act 1968,Dishonestly appropriates property belonging to another with intention to permanently deprive,"1. Appropriation, 2. Property belonging to another, 3. Dishonesty, 4. Intention to permanently deprive",TH68001,7 years imprisonment,CPS,R v Ghosh [1982] QB 1053,Most common property offence,Theft
Burglary (dwelling),9(1)(a),Theft Act 1968,"Enters a building as a trespasser with intent to steal, inflict GBH or do unlawful damage","1. Entry, 2. Building, 3. Trespasser, 4. Intent",TH68009A,14 years imprisonment,CPS,R v Collins [1973] QB 100,Aggravated if occupied dwelling,Burglary
Burglary (non-dwelling),9(1)(b),Theft Act 1968,"Having entered as trespasser, steals or attempts to steal or inflicts GBH","1. Entry as trespasser, 2. Theft/attempted theft/GBH",TH68009B,10 years imprisonment,CPS,R v Brown [1985] Crim LR 398,Lower maximum than dwelling burglary,Burglary
Robbery,8,Theft Act 1968,Steals and immediately before or at the time uses force or puts/seeks to put any person in fear,"1. Theft, 2. Force or threat of force, 3. Immediately before or at time of theft",TH68008,Life imprisonment,CPS,R v Dawson [1976] Crim LR 692,Serious offence with life maximum,Robbery
Handling stolen goods,22,Theft Act 1968,Dishonestly receives goods knowing or believing them to be stolen,"1. Goods, 2. Stolen, 3. Knowing/believing stolen, 4. Dishonesty",TH68022,14 years imprisonment,CPS,R v Bloxham [1983] 1 AC 109,Includes arranging/assisting disposal,Handling
Common assault,39,Criminal Justice Act 1988,Intentionally or recklessly causing another to apprehend immediate unlawful violence,"1. Intentionally/recklessly, 2. Causing apprehension, 3. Immediate unlawful violence",CJ88039,6 months imprisonment and/or fine,CPS,R v Ireland [1998] AC 147,Battery requires actual contact,Assault
Assault occasioning ABH,47,Offences Against the Person Act 1861,Assault occasioning actual bodily harm,"1. Common assault, 2. Occasioning, 3. Actual bodily harm",OA61047,5 years imprisonment,CPS,R v Miller [1954] 2 QB 282,More than trivial injury required,Assault
Wounding/GBH (s20),20,Offences Against the Person Act 1861,Unlawfully and maliciously wounds or inflicts GBH,"1. Unlawfully, 2. Maliciously, 3. Wound or GBH",OA61020,5 years imprisonment,CPS,R v Eisenhower [1984] QB 331,Breaking of skin required for wound,Assault
Wounding/GBH with intent (s18),18,Offences Against the Person Act 1861,Unlawfully and maliciously wounds or causes GBH with intent,"1. Unlawfully, 2. Maliciously, 3. Wound or GBH, 4. Intent to cause GBH",OA61018,Life imprisonment,CPS,R v Belfon [1976] 1 WLR 741,Most serious non-fatal assault,Assault
Possession of controlled drug,5(2),Misuse of Drugs Act 1971,Unlawful possession of a controlled drug,"1. Possession, 2. Controlled drug, 3. Unlawful",MD71005,7 years imprisonment (Class A),CPS,R v Boyesen [1982] AC 768,Penalties vary by drug class,Drugs
Supply of controlled drug,4(3),Misuse of Drugs Act 1971,Unlawful supply of controlled drug to another,"1. Supply, 2. Controlled drug, 3. To another, 4. Unlawful",MD71004,Life imprisonment (Class A),CPS,R v Dempsey [1986] 82 Cr App R 291,Includes offering to supply,Drugs
Possession with intent to supply,5(3),Misuse of Drugs Act 1971,Possession of controlled drug with intent to supply,"1. Possession, 2. Controlled drug, 3. Intent to supply",MD71005A,Life imprisonment (Class A),CPS,R v Wright [1976] 62 Cr App R 169,Intent can be inferred from quantity,Drugs
Production of controlled drug,4(2),Misuse of Drugs Act 1971,Unlawful production of controlled drug,"1. Production, 2. Controlled drug, 3. Unlawfully",MD71004A,Life imprisonment (Class A),CPS,R v Russell [1992] 94 Cr App R 351,Includes cultivation of cannabis,Drugs
Affray,3,Public Order Act 1986,Uses or threatens unlawful violence causing fear for personal safety,"1. Use/threat of unlawful violence, 2. Conduct such as would cause reasonable fear",PO86003,3 years imprisonment,CPS,R v Sanchez [1996] Crim LR 572,Must be present together,Public Order
Threatening behaviour,4,Public Order Act 1986,"Uses threatening, abusive or insulting words/behaviour","1. Threatening/abusive/insulting, 2. Words or behaviour, 3. Intent or likely to cause fear of violence",PO86004,6 months imprisonment,CPS,R v Horseferry Road Stipendiary Magistrate [1987] QB 1187,Common public order offence,Public Order
Disorderly behaviour,5,Public Order Act 1986,Uses threatening or abusive words/behaviour likely to cause harassment,"1. Threatening/abusive, 2. Words/behaviour, 3. Likely to cause harassment/alarm/distress",PO86005,Fine only,Police,R v Harvey [2012] EWCA Crim 1533,Summary only offence,Public Order
Breach of the peace,Common law,Common Law,Acting in a manner likely to cause a breach of the peace,"1. Acting in a manner, 2. Likely to cause breach of peace",CL001,Binding over,Police,R v Howell [1982] QB 416,Common law offence,Public Order
Dangerous driving,2,Road Traffic Act 1988,Drives dangerously on a road or public place,"1. Drives, 2. Mechanically propelled vehicle, 3. Road/public place, 4. Dangerously",RT88002,2 years imprisonment,CPS,R v Marison [1997] RTR 457,Standard below competent driver,Traffic
Drink driving,5(1)(a),Road Traffic Act 1988,Drives with alcohol concentration above prescribed limit,"1. Drives, 2. Motor vehicle, 3. Road/public place, 4. Above prescribed limit",RT88005,6 months imprisonment,CPS,R v Whitmore [1987] RTR 413,80mg per 100ml blood,Traffic
Driving whilst disqualified,103,Road Traffic Act 1988,Drives whilst disqualified from holding a licence,"1. Drives, 2. Motor vehicle, 3. Road, 4. Whilst disqualified",RT88103,6 months imprisonment,CPS,R v Lynn [1971] RTR 369,Knowledge of disqualification required,Traffic
No insurance,143,Road Traffic Act 1988,Uses motor vehicle without insurance,"1. Uses, 2. Motor vehicle, 3. Road/public place, 4. No insurance in force",RT88143,Fine and penalty points,Police,R v Balfour Beatty Rail Infrastructure Services Ltd [2006] EWCA Crim 1586,Strict liability offence,Traffic
Theft variation 21,22,Theft Act 1968,Dishonestly appropriates property in specific circumstances 21,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989022,7 years imprisonment,CPS,R v Example21 [1982] QB 21,Specific theft circumstances 21,Theft
Assault variation 22,23,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 22,"1. Assault, 2. Unlawfully, 3. Another person",AS1990023,5 years imprisonment,CPS,R v Example22 [1976] 1 WLR 22,Specific assault type 22,Assault
Drug offence variation 23,24,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 23,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991024,14 years imprisonment,CPS,R v Example23 [1986] 82 Cr App R 23,Drug-related conduct 23,Drugs
Traffic offence variation 24,25,Road Traffic Act 1988,Contravenes road traffic regulations 24,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992025,6 months imprisonment,Police,R v Example24 [1987] RTR 24,Road traffic violation 24,Traffic
Public order offence 25,26,Public Order Act 1986,Disrupts public order in specific manner 25,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993026,6 months imprisonment,Police,R v Example25 [1987] QB 25,Public disorder 25,Public Order
Cybercrime offence 26,27,Computer Misuse Act 1990,Unlawfully uses computer systems 26,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994027,10 years imprisonment,CPS,R v Example26 [2000] 2 AC 26,Digital crime 26,Cybercrime
Financial crime 27,28,Fraud Act 2006,Dishonestly obtains financial advantage 27,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995028,10 years imprisonment,CPS,R v Example27 [2012] EWCA Crim 27,Economic offence 27,Financial Crime
Terrorism offence 28,29,Terrorism Act 2000,Engages in terrorist-related activity 28,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996029,14 years imprisonment,CPS,R v Example28 [2007] EWCA Crim 28,National security threat 28,Terrorism
Environmental crime 29,30,Environmental Protection Act 1990,Causes environmental damage 29,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997030,5 years imprisonment,Environment Agency,R v Example29 [1996] Env LR 29,Environmental damage 29,Environmental
Corporate offence 30,31,Companies Act 2006,Fails to comply with corporate duties 30,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998031,2 years imprisonment,CPS,R v Example30 [1989] 1 WLR 30,Corporate compliance 30,Corporate Crime
